[2026-01-31 22:38:04,050] 18 root - INFO - Initiate the data ingestion
[2026-01-31 22:38:09,589] 70 root - INFO - Performed train test split on the dataframe
[2026-01-31 22:38:09,589] 72 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-01-31 22:38:09,590] 80 root - INFO - Exporting train and test file path.
[2026-01-31 22:38:09,625] 89 root - INFO - Exported train and test file path.
[2026-01-31 22:38:09,626] 20 root - INFO - Data Initiation Completed
[2026-01-31 22:38:09,630] 25 root - INFO - Initiate the data Validation
[2026-01-31 22:38:09,720] 33 root - INFO - Required number of columns: 2
[2026-01-31 22:38:09,720] 34 root - INFO - Dataframe has columns:31
[2026-01-31 22:38:09,720] 33 root - INFO - Required number of columns: 2
[2026-01-31 22:38:09,720] 34 root - INFO - Dataframe has columns:31
[2026-01-31 22:38:09,832] 27 root - INFO - Data Validation Completed
[2026-01-31 22:38:09,832] 31 root - INFO - Data transformation started
[2026-01-31 22:38:09,832] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-01-31 22:38:09,833] 66 root - INFO - Starting data transformation
[2026-01-31 22:38:09,864] 50 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[2026-01-31 22:38:09,865] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-31 22:38:09,879] 44 root - INFO - Entered the save_object method of MainUtils class
[2026-01-31 22:38:09,882] 48 root - INFO - Exited the save_object method of MainUtils class
[2026-01-31 22:38:09,883] 34 root - INFO - Data Transformation Completed
